reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Value for money and a treat to have,"DESIGN:
If you thinking that OnePlus 6 and 6T has no major difference than you are absolutely wrong and highly mistaken if you thing 6 is better than 6T. Price hike is completely justified.
Visible differences between 6 & 6T:
Higher screen to body ratio, Gorilla Glass 6, in-display fingerprint scanner, taller, water-drop notch. 3700mAh battery.
Technical advancement:
Advance AI which smartly uses your RAM and ROM which actually boosts the performance, Better heat-sink than 6.
CAMERA:
I took my canon 1300D with two lens; portrait and 18-55 and OnePlus6T for comparison test. OnePlus 6T provided better results when both on Auto-mode. It has amazing contrast, perfect saturation; but the thing where it stood-out from others its it night picture quality. It does wonders even if there is almost no light and that is some magic over there. Front camera absolutely stunning and comes with screen flash for low light selfies.
BATTERY:
Battery charging- 0 to 65% in 30 mins and at 45 min it reaches 86%. Full charge by 1hr8 mins when internet, Bluetooth and wifi off. On heavy use it survives 8 hrs (I watched 2 movies in HD with 50% screen brightness and 1 hour PubG gaming on HD, 1 hour YouTubing). On average usage, 17 hours very smoothly(casual social media surfing, browsing, camera usage about 5 to 6 pictures using flash). Without internet usage at all and battery saver on, it can go whooping 3 DAYS !
SPEAKERS:
External speakers are loud, I mean really very loud. Hearing speaker is very cool by its looks and loud too. Volume rockers and power switch is perfectly hard.
SECURITY:
Though I feel face detection is worst type of security because it has many drawbacks, its quick. And finger print scanner is also faster than its competitors. The part which irritates is that while using at night in dark, for face and fingerprint detection, the display gets 100% to scan which is very annoying and very uneasy for eyes.",Amazon Customer,11 November 2018,5.0 out of 5 stars
Crashed phone,Very baf,A Anandhu Krishna,5 November 2018,1.0 out of 5 stars
OnePlus-6T Edge-to-Edge 6D Tempered-...,,,,₹ 950.00 (63%)
Iphone users stay away,"If yuh are a Iphone user please stay away.,
Yu’ll definetely nt like it",Md Sameer Khan,4 November 2018,1.0 out of 5 stars
Software issues,"1. Its adapter is heating as hell.
2. After repeatedly updating also it appears as if something is pending to update but still not updating and sticking to notification pannel(i shared the pic of the same).
3. Battery draining too quickly.
4. Camera quality is ok only.",Amazon Customer,6 November 2018,3.0 out of 5 stars
Disappointed,Very disappointed with slow mo camera quality. I wish I could return the phone.,Ankita,4 November 2018,1.0 out of 5 stars
Overall phone is recommendable,Build quality is good. Phone is looking handsome. Two things bothering me. one is notification light. There is no notification light on top of screen so I need to awake my phone everytime to check any message or so. Second thing is fingerprint sensor. It is very sensible I must say unlike the back one. I need to put my finger in proper way otherwise I won't be able to unlock my phone.,Gaurav Sharma,4 November 2018,4.0 out of 5 stars
Defective Handset Delivered,"There are two speakers in One Plus 6T, One speaker is not working",Amazon Customer,10 November 2018,1.0 out of 5 stars
Camera quality,"I am using oneplus 6t phone from 1st of November and I am facing issue with camera when I m using camera with flash then image taking blur and in yellow colour this issue I am facing after updating oneplus 6t phone
Don't not true on camera",Sachin,9 November 2018,1.0 out of 5 stars
Please refund my full money,The phone value is not even 10000 rs. The camera is so bad. Flicking so much at video calling and slow motion camera. The slow motion videos are not working properly. And the worst part is Amazon where there is no option to return the item. I need my full money back. I can't tolerate this phone a day more,SAYAN TRIVEDI,11 November 2018,1.0 out of 5 stars
Please accepf return,Picture quality worst,Amazon Customer,8 November 2018,1.0 out of 5 stars
Good product,Super package,Dayanidhi,4 November 2018,5.0 out of 5 stars
about quality of packing.,"AS I HAD ALREADY CUSTOMER OF ONE PLUS 5,IAM VERY MUCH DISAPPOINTED WITH PACKING MATERIAL OF ONE PLUS 6T, I COMPARE BOTH BOXES OF ONE PLUS 5 AND 6T
WHEN I PICK MY NEW PHONE 6T,I FOUND MATERIAL USED IS VERY DULL,MY FIRST IMPRESSION WAS 0
BUT OVERALL PHONE IS WORKING WELL WITH LESS BATTERY BACKUP",YASSAR HUSSAIN,7 November 2018,5.0 out of 5 stars
OnePlus's best phone till date! It's not just a simple upgrade from 6. Its a serious and real one.,"Best Android phone till date. I have been using it for 3 days now and OnePlus didn't let me down.
* Great battery life. I use mobile for texting, taking pics and pubg usually. I charge it once a day which is pretty great.
* Dash charging does help the phone to get charged to 90% in 50-60mins (3700mAh).
* You all know about the specs abt camera. But one thing to note is unlike oneplus 6, 6t's pro mode has bigger capture size.
* On screen finger print scanner amazes me each time I use it. Animation is so great. One thing i'd like to mention abt this animation is it is too bright even when brightness of the screen is minimum which is bad when you want to unlock ur phone at night time.
This is the best phone you can buy in 2018 and early 2019 at around 35-40k. So go ahead and buy it, I'm sure you won't regret it!",Ajay Aradhya,9 November 2018,5.0 out of 5 stars
Good products,Good,Ravi jadhav,9 November 2018,4.0 out of 5 stars
No always on display,Add/ enable proper always on display.. without LED notification light we can't see notification.. really not satisfied disabled always on display/Ambiant display...,Hi.,6 November 2018,1.0 out of 5 stars
Defective Handset,So I got my OnePlus 6T delivered last morning..and after charging for 30 mins when I switched it on..the screen seems to look like the image I uploaded..tried restarting the phone and also charging it..I hope I get a replacement or refund soon..very disappointed!!!,Saurabh P,5 November 2018,1.0 out of 5 stars
Superb....,Lovely mobile... Simply love it.,manikantha,4 November 2018,5.0 out of 5 stars
Dont purchase for camera if you are picture selfie lover,"1. Picture quality zero third class
2. Heat while charging
3 heat issue while playing game like pubg
4. Slipry grip
5. Heavy weight
6. Camera in night also wrost
7. When you zoom picture taken by 6t shows the blur images and red eyes
8. There lack of A. I artificial intelligence
9. Face lock security is totaly unsafe i tried open with my passport size foto & opend screen lock
10. Battery life is good fast charging but heating issue also
11. No headfone jack you have to manage with charging jack adapter of headfone
I return after using 2 days & thanks to amazone to refund on time and saves my money by return / refund policy",Daddy Traveller,14 November 2018,1.0 out of 5 stars
Just awesome,Awesome phone midnight black is looks more beautiful,aditya s.,5 November 2018,5.0 out of 5 stars
Technically impressive and undeniable,"The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.
Cons :
Concern is the notification led light. we are not sure whether battery is 100% while charging. Single touch display to see notification is beautiful.
One plus should have added the charge + 3.5 jack in type c converter. which would be added value for those who watch movie or listen song while charging.",Selvakumar Selvanathan,9 November 2018,5.0 out of 5 stars
Not good phone and price to high according to product,Hanging problem selfi camera not good,Krishna G,9 November 2018,1.0 out of 5 stars
Bulky mobile,One plus 6 is better than 6t,Shrihari,4 November 2018,1.0 out of 5 stars
